Primary Identifier	gene_symbol	description	massspec_evidence	go_annotation_mitochondrial	gfp_evidence	organism_name	mtstargetp	mtsmitoprot	mtsmitofates	cellular_location	cellular_location_evidence	mito_sublocation	mito_sublocation_evidence
YBL045C	COR1	"Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain"	11	TRUE	2	S. cerevisiae S288C	0.744	0.9956	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YBR039W	ATP3	"Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	11	TRUE	2	S. cerevisiae S288C	0.753	0.9769	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YJR045C	SSC1	"Hsp70 family ATPase; constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease; SSC1 has a paralog, ECM10, that arose from the whole genome duplication"	11	TRUE	1	S. cerevisiae S288C	0.929	0.9912	0.996	"mitochondrion;nucleus"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial nucleoid;mitochondrial outer membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YLR259C	HSP60	"Tetradecameric mitochondrial chaperonin; required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated"	11	TRUE	1	S. cerevisiae S288C	0.898	0.9965	0.999	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix;mitochondrial intermembrane space;mitochondrial nucleoid;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YKL148C	SDH1	"Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; SDH1 has a paralog, YJL045W, that arose from the whole genome duplication"	11	TRUE	1	S. cerevisiae S288C	0.913	0.99	0.996	"mitochondrion;plasma membrane"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YOR374W	ALD4	"Mitochondrial aldehyde dehydrogenase; required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed; can substitute for cytosolic NADP-dependent aldehyde dehydrogenase when directed to the cytosol"	11	TRUE	1	S. cerevisiae S288C	0.867	0.9963	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix;mitochondrial matrix/mitochondrial inner membrane;mitochondrial outer membrane;mitochondrial nucleoid"	"mass-spec;Gene Ontology"
YLR355C	ILV5	"Acetohydroxyacid reductoisomerase and mtDNA binding protein; involved in branched-chain amino acid biosynthesis and maintenance of wild-type mitochondrial DNA; found in mitochondrial nucleoids"	11	TRUE	1	S. cerevisiae S288C	0.947	0.9991	1	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix;mitochondrial outer membrane;mitochondrial nucleoid"	"mass-spec;Gene Ontology"
YDR148C	KGD2	"Dihydrolipoyl transsuccinylase; component of the mitochondrial alpha-ketoglutarate dehydrogenase complex, which catalyzes the oxidative decarboxylation of alpha-ketoglutarate to succinyl-CoA in the TCA cycle; phosphorylated"	10	TRUE	3	S. cerevisiae S288C	0.946	0.9984	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial nucleoid;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YNL071W	LAT1	"Dihydrolipoamide acetyltransferase component (E2) of the PDC; the pyruvate dehydrogenase complex (PDC) catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA"	10	TRUE	3	S. cerevisiae S288C	0.927	0.9836	0.999	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YJR077C	MIR1	"Mitochondrial phosphate carrier; imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated"	10	TRUE	3	S. cerevisiae S288C	0.11	0.0305	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YLL041C	SDH2	"Iron-sulfur protein subunit of succinate dehydrogenase; the complex couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; other members are Sdh1p, Sdh3p, and Sdh4p"	10	TRUE	3	S. cerevisiae S288C	0.862	0.9695	0.195	"mitochondrion;vacuole"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YDL174C	DLD1	"D-lactate dehydrogenase; oxidizes D-lactate to pyruvate, transcription is heme-dependent, repressed by glucose, and derepressed in ethanol or lactate; located in the mitochondrial inner membrane"	10	TRUE	3	S. cerevisiae S288C	0.916	0.989	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YOR136W	IDH2	"Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated"	10	TRUE	3	S. cerevisiae S288C	0.698	0.9961	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
YJR016C	ILV3	"Dihydroxyacid dehydratase; catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids"	10	TRUE	3	S. cerevisiae S288C	0.61	0.9462	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YOR020C	HSP10	"Mitochondrial matrix co-chaperonin; inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin; involved in protein folding and sorting in the mitochondria; 10 kD heat shock protein with similarity to E. coli groES"	10	TRUE	0	S. cerevisiae S288C	0.555	0.8949	0.012	mitochondrion	"MassSpec;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial outer membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YIL065C	FIS1	"Protein involved in mitochondrial fission and peroxisome abundance; required for localization of Dnm1p and Mdv1p during mitochondrial division; mediates ethanol-induced apoptosis and ethanol-induced mitochondrial fragmentation"	10	TRUE	0	S. cerevisiae S288C	0.089	0.0094	0.006	"mitochondrion;peroxisome"	"MassSpec;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YER178W	PDA1	"E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes"	10	TRUE	2	S. cerevisiae S288C	0.934	0.9798	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix;mitochondrial matrix/mitochondrial inner membrane;mitochondrial outer membrane;mitochondrial nucleoid"	"mass-spec;Gene Ontology"
YKL085W	MDH1	"Mitochondrial malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated"	10	TRUE	2	S. cerevisiae S288C	0.687	0.9873	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial outer membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YBR221C	PDB1	"E1 beta subunit of the pyruvate dehydrogenase (PDH) complex; PDH is an evolutionarily conserved multi-protein complex found in mitochondria"	10	TRUE	2	S. cerevisiae S288C	0.97	0.9974	1	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix;mitochondrial outer membrane;mitochondrial nucleoid"	"mass-spec;Gene Ontology"
YML078W	CPR3	"Mitochondrial peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; involved in protein refolding after import into mitochondria"	10	TRUE	2	S. cerevisiae S288C	0.819	0.9958	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
YNL121C	TOM70	"Component of the TOM (translocase of outer membrane) complex; involved in the recognition and initial import steps for all mitochondrially directed proteins; acts as a receptor for incoming precursor proteins; TOM70 has a paralog, TOM71, that arose from the whole genome duplication"	10	TRUE	2	S. cerevisiae S288C	0.203	0.7756	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YMR108W	ILV2	"Acetolactate synthase; catalyses the first common step in isoleucine and valine biosynthesis and is the target of several classes of inhibitors, localizes to the mitochondria; expression of the gene is under general amino acid control"	10	TRUE	2	S. cerevisiae S288C	0.949	0.9991	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial outer membrane"	mass-spec
YDR298C	ATP5	"Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated"	10	TRUE	2	S. cerevisiae S288C	0.826	0.9924	0.999	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YPR002W	PDH1	"Putative 2-methylcitrate dehydratase; mitochondrial protein that participates in respiration; induced by diauxic shift; homologous to E. coli PrpD, may take part in the conversion of 2-methylcitrate to 2-methylisocitrate"	10	FALSE	2	S. cerevisiae S288C	0.236	0.3558	0.352	mitochondrion	"MassSpec;GFP"	"mitochondrial outer membrane;mitochondrial outer membranemitochondrial matrix"	mass-spec
YJR048W	CYC1	"Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of the mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; mutations in human homolog cause insulin-responsive hyperglycemia; CYC1 has a paralog, CYC7, that arose from the whole genome duplication"	10	TRUE	1	S. cerevisiae S288C	0.294	0.8501	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	"intermembrane space;mitochondrial intermembrane space;mitochondrial outer membrane"	"mass-spec;Gene Ontology"
YGR082W	TOM20	"Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; acts as a receptor for incoming precursor proteins"	10	TRUE	1	S. cerevisiae S288C	0.17	0.6902	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YCL009C	ILV6	"Regulatory subunit of acetolactate synthase; acetolactate synthase catalyzes the first step of branched-chain amino acid biosynthesis; enhances activity of the Ilv2p catalytic subunit, localizes to mitochondria"	10	TRUE	1	S. cerevisiae S288C	0.962	0.9221	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial nucleoid;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YGL187C	COX4	"Subunit IV of cytochrome c oxidase; the terminal member of the mitochondrial inner membrane electron transport chain; precursor N-terminal 25 residues are cleaved during mitochondrial import; phosphorylated; spermidine enhances translation"	10	TRUE	1	S. cerevisiae S288C	0.92	0.9966	0.998	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space"	Gene Ontology
YGR132C	PHB1	"Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR)"	9	TRUE	3	S. cerevisiae S288C	0.039	0.1292	0.029	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YBL064C	PRX1	"Mitochondrial peroxiredoxin with thioredoxin peroxidase activity; has a role in reduction of hydroperoxides; reactivation requires Trr2p and glutathione; induced during respiratory growth and oxidative stress; phosphorylated; protein abundance increases in response to DNA replication stress"	9	TRUE	3	S. cerevisiae S288C	0.839	0.9912	0.914	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YOR142W	LSC1	"Alpha subunit of succinyl-CoA ligase; succinyl-CoA ligase is a mitochondrial enzyme of the TCA cycle that catalyzes the nucleotide-dependent conversion of succinyl-CoA to succinate; phosphorylated"	9	TRUE	3	S. cerevisiae S288C	0.602	0.9587	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial nucleoid;mitochondrial matrix"	"mass-spec;Gene Ontology"
YHR037W	PUT2	"Delta-1-pyrroline-5-carboxylate dehydrogenase; nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; deficiency of the human homolog causes HPII, an autosomal recessive inborn error of metabolism"	9	TRUE	3	S. cerevisiae S288C	0.703	0.9967	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YDR529C	QCR7	"Subunit 7 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the mitochondrial matrix; N-terminus appears to play a role in complex assembly"	9	TRUE	3	S. cerevisiae S288C	0.178	0.4726	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YKL027W	TCD2	"tRNA threonylcarbamoyladenosine dehydratase; required for the ct6A tRNA base modification, where an adenosine at position 37 is modified to form a cyclized active ester with an oxazolone ring; localized to the mitochondrial outer membrane; TCD2 has a paralog, TCD1, that arose from the whole genome duplication"	9	TRUE	3	S. cerevisiae S288C	0.013	0.1786	0.003	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YOR215C	AIM41	"Putative protein of unknown function; the authentic protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss"	9	TRUE	3	S. cerevisiae S288C	0.864	0.9809	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	mass-spec
YHL021C	AIM17	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss"	9	TRUE	3	S. cerevisiae S288C	0.945	0.9991	0.999	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YBR026C	ETR1	"2-enoyl thioester reductase; member of the medium chain dehydrogenase/reductase family; localized to in mitochondria, where it has a probable role in fatty acid synthesis"	9	TRUE	3	S. cerevisiae S288C	0.532	0.6333	0.155	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
YAL044C	GCV3	"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"	9	TRUE	3	S. cerevisiae S288C	0.942	0.9972	0.994	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YNL037C	IDH1	"Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle"	9	TRUE	3	S. cerevisiae S288C	0.708	0.9495	0.996	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial nucleoid;mitochondrial intermembrane space;mitochondrial matrix"	"mass-spec;Gene Ontology"
YIL094C	LYS12	"Homo-isocitrate dehydrogenase; an NAD-linked mitochondrial enzyme required for the fourth step in the biosynthesis of lysine, in which homo-isocitrate is oxidatively decarboxylated to alpha-ketoadipate"	9	TRUE	3	S. cerevisiae S288C	0.775	0.995	0.999	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YDL066W	IDP1	"Mitochondrial NADP-specific isocitrate dehydrogenase; catalyzes the oxidation of isocitrate to alpha-ketoglutarate; not required for mitochondrial respiration and may function to divert alpha-ketoglutarate to biosynthetic processes"	9	TRUE	3	S. cerevisiae S288C	0.781	0.9434	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial nucleoid;mitochondrial matrix"	"mass-spec;Gene Ontology"
YBL099W	ATP1	"Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated; N-terminally propionylated in vivo"	9	TRUE	3	S. cerevisiae S288C	0.954	0.9994	1	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial nucleoid;mitochondrial intermembrane space;mitochondrial matrix"	"mass-spec;Gene Ontology"
YHR208W	BAT1	"Mitochondrial branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA biosynthesis; homolog of murine ECA39; highly expressed during logarithmic phase and repressed during stationary phase; BAT1 has a paralog, BAT2, that arose from the whole genome duplication"	9	TRUE	0	S. cerevisiae S288C	0.723	0.8337	0.996	mitochondrion	"MassSpec;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
YGR234W	YHB1	"Nitric oxide oxidoreductase; flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses; protein increases in abundance and relocalizes from nucleus to cytoplasmic foci upon DNA replication stress"	9	TRUE	0	S. cerevisiae S288C	0.122	0.1688	0.012	"cytosol;mitochondrion"	"MassSpec;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
YLR089C	ALT1	"Alanine transaminase (glutamic pyruvic transaminase); involved in alanine biosynthesis and catabolism; TOR1-independent role in determining chronological lifespan; expression is induced in the presence of alanine; repression is mediated by Nrg1p; ALT1 has a paralog, ALT2, that arose from the whole genome duplication; Alt2p is catalytically inactive"	9	TRUE	0	S. cerevisiae S288C	0.581	0.9774	0.996	mitochondrion	"MassSpec;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
YLR038C	COX12	"Subunit VIb of cytochrome c oxidase; cytochrome c oxidase is also known as respiratory Complex IV and is the terminal member of the mitochondrial inner membrane electron transport chain; required for assembly of cytochrome c oxidase but not required for activity after assembly; phosphorylated; easily released from the intermembrane space, suggesting a loose association with Complex IV"	9	TRUE	0	S. cerevisiae S288C	0.089	0.0099	0	mitochondrion	"MassSpec;Gene Ontology"	"mitochondrial inner membrane;mitochondrial inner membraneintermembrane space;mitochondrial intermembrane space"	"mass-spec;Gene Ontology"
YMR110C	HFD1	"Hexadecenal dehydrogenase; involved in the conversion of sphingosine 1-phosphate breakdown product hexadecenal to hexadecenoic acid; located in the mitochondrial outer membrane and also in lipid particles; has similarity to ALDH3A2, a human fatty aldehyde dehydrogenase (FALDH) mutated in Sjogren-Larsson syndrome, a neurocutaneous disorder"	9	TRUE	0	S. cerevisiae S288C	0.096	0.0458	0.003	mitochondrion	"MassSpec;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YDR178W	SDH4	"Membrane anchor subunit of succinate dehydrogenase (SDH); involved in coupling the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; has similarity to human SDH subunit D (SDHD), which is implicated in paraganglioma"	9	TRUE	2	S. cerevisiae S288C	0.957	0.995	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YNL104C	LEU4	"Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway; LEU4 has a paralog, LEU9, that arose from the whole genome duplication"	9	TRUE	2	S. cerevisiae S288C	0.238	0.0892	0.019	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YMR145C	NDE1	"Mitochondrial external NADH dehydrogenase; type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain; NDE1 has a paralog, NDE2, that arose from the whole genome duplication"	9	TRUE	2	S. cerevisiae S288C	0.857	0.9894	0.936	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial outer membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YML120C	NDI1	"NADH:ubiquinone oxidoreductase; transfers electrons from NADH to ubiquinone in the respiratory chain but does not pump protons, in contrast to the higher eukaryotic multisubunit respiratory complex I; phosphorylated; involved in Mn and H2O2 induced apoptosis; upon apoptotic stress, Ndip is activated in the mitochondria by N-terminal cleavage, and the truncated protein translocates to the cytoplasm to induce apoptosis; homolog of human AMID"	9	TRUE	2	S. cerevisiae S288C	0.893	0.9152	0.999	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial outer membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YEL024W	RIP1	"Ubiquinol-cytochrome-c reductase; a Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex; transfers electrons from ubiquinol to cytochrome c1 during respiration; during import, Rip1p is first imported into the mitochondrial matrix where it is processed, acquires its Fe-S cluster, and is folded, then is translocated into the inner membrane by the action of a homo-oligomer of Bcs1p, and finally is delivered by Bcs1p to Complex III for assembly"	9	TRUE	2	S. cerevisiae S288C	0.805	0.9968	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YDL178W	DLD2	"D-lactate dehydrogenase; located in the mitochondrial matrix"	9	TRUE	2	S. cerevisiae S288C	0.909	0.9908	0.919	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
